Team,dist,Division
Dallas,4372,Division 1
Utah,4372,Division 1
Denver,4372,Division 1
Oklahoma City,4372,Division 1
Toronto,2756,Division 2
Boston,2756,Division 2
Detroit,2756,Division 2
Cleveland,2756,Division 2
Phoenix,2266,Division 3
Los Angeles,2266,Division 3
Los Angeles.1,2266,Division 3
San Francisco,2266,Division 3
Chicago,2312,Division 4
Minnesota,2312,Division 4
Indiana,2312,Division 4
Milwaukee,2312,Division 4
Sacramento,2858,Division 5
Vancouver,2858,Division 5
Portland,2858,Division 5
Seattle,2858,Division 5
Washington,796,Division 6
Philadelphia,796,Division 6
Brooklyn,796,Division 6
New York,796,Division 6
Charlotte,2835,Division 7
Miami,2835,Division 7
Orlando,2835,Division 7
Atlanta,2835,Division 7
Houston,2777,Division 8
New Orleans,2777,Division 8
Memphis,2777,Division 8
San Antonio,2777,Division 8
